"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"0b3da8ecd35f67e2a3cd1a989edd139f238a1d8d","OWNERSHIP","entity:0213c5e3356d448cc3d6ee89cf92f93d0d20cb7b","entity:cdbe94b975a4abf82d7e0ff47c5a11737eb6a455","","","","","","","","","","","","","","","","","","","","",""
"0b3f0fa57a01b64282ea06fdcfa5c1eb677edce0","OWNERSHIP","entity:959ff98982dbd2f0df4f024bdc372013eec9a020","entity:21e3882f30daecce4b4adfcf8952bae3c27f9479","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b5ed0d33158afc8f439205f47e844f7af794b4d","OWNERSHIP","entity:843bd8be249e983246d0e85aa2e27aaa620be68a","entity:b91ab1e9cafaacc152299e699c1b8df9cc58358a","","2.52","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"0ba049faf1893201bc04d422d3e1fff78b3a5c9f","OWNERSHIP","entity:223868a5a641ba271ffe68eea9df71c1873ebc6f","entity:210b2c2bd542c27a71c20954e32c1b63bdb68742","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0bfead18c44303443e5b3aa053c294171ff23b6f","OWNERSHIP","entity:46dbf034ab079fcc6a4e89cb3cae83e50edc0de9","entity:57910946671f3119a91feb6c2eb3ad5bfe7022c6","","16.67","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0c088521f2219fc021ffd761ddabe00f3bd29aae","OWNERSHIP","entity:3323644a53eac81784a278a663065da9d42bc5a4","entity:7226275ee5eef9144348f67b26f253ca1b11741b","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0c50891d8ae34f83ccf37b799768bfe6f5b02400","OWNERSHIP","entity:843bd8be249e983246d0e85aa2e27aaa620be68a","entity:3cac1dff0a3701fcab6ed24e8ee9bf53b4157ca4","","","","","","","","","","","","","","","","","","","KOMMANDITIST","",""
"0c5b69a5a8c8dc52c01d1ea7c00bafacbad71ad3","OWNERSHIP","entity:6d7130be11dc716efde8652c886ffe9eb7550c8f","entity:fc267ab74a746a37b4e2f8c54aa6f9181f11ef7e","","70.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d186ae9b0da0dd6fcb861a04aa02dd0dfcbcca9","OWNERSHIP","entity:4613cfd8b08cd01bce2108fd03ed49421e96ed05","entity:68caa5ec8ea4312c0de9294eb6a072ec2eb412b4","","4.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d19419a8118f9831311cd15afd4b377f67ef9a4","OWNERSHIP","entity:5111a2924f1aa17998472d58fe1375eb10261035","entity:b17767fe3f7411d6bfdb98b33958bef751371a86","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d8148613b552a44c9df4a6ee5b610fe793c29f0","OWNERSHIP","entity:2ad2003a1268291bd32b62631689aaa26fe58a6c","entity:9e8e209976673ab026135dac9960529520fb4235","","100.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0d81c438c11bacb39769f8249cf1956755f6b284","OWNERSHIP","entity:3eff54a492893d16d5c0527aedfcc414fb5529da","entity:3fbe72118e948a70c650d5e9e89a529a7ab766b1","","9.70","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0da6f79c14d984f224565cbd9322341999a84acb","OWNERSHIP","entity:31cfd3dcc4ab3c9a3956e090e4eb8a931f4322ae","entity:a229337a3a4e0a5d930285478839faa972828e67","","2.03","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0de44778e39715e9a131bb22cc46dede71973b4b","OWNERSHIP","entity:83aa9f215e3f997b1a067641cbb935d928183781","entity:5d791b9a87fad44ff846fe58348673a4c4210849","","27.74","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
